Date,Forecasted Load,Lower CI,Upper CI
2024-10-15 00:00:00+00:00,225009.58128778622,186092.6806287772,263926.48194679525
2024-10-16 00:00:00+00:00,226112.81764676824,187192.56586099352,265033.06943254295
2024-10-17 00:00:00+00:00,225828.1744681001,186905.3804347102,264750.96850149
2024-10-18 00:00:00+00:00,220909.48565382068,181984.76297327637,259834.208334365
2024-10-19 00:00:00+00:00,191124.6459390747,152198.46009208634,230050.83178606303
2024-10-20 00:00:00+00:00,180263.44820627567,141336.15231769608,219190.74409485527
2024-10-21 00:00:00+00:00,219659.0403247381,180725.9241900175,258592.1564594587
2024-10-22 00:00:00+00:00,225009.58128778622,186072.05001654112,263947.1125590313
2024-10-23 00:00:00+00:00,226112.81764676824,187171.93702416145,265053.698269375
2024-10-24 00:00:00+00:00,225828.1744681001,186884.75294453977,264771.59599166043
2024-10-25 00:00:00+00:00,220909.48565382068,181964.1365046181,259854.83480302326
2024-10-26 00:00:00+00:00,191124.6459390747,152177.83439832996,230071.45747981942
2024-10-27 00:00:00+00:00,180263.44820627567,141315.52721178564,219211.3692007657
2024-10-28 00:00:00+00:00,219659.0403247381,180705.30216579302,258612.77848368319
2024-10-29 00:00:00+00:00,225009.58128778622,186051.4303294155,263967.7322461569
2024-10-30 00:00:00+00:00,226112.81764676824,187151.31910962105,265074.3161839154
2024-10-31 00:00:00+00:00,225828.1744681001,186864.13637452316,264792.21256167704
2024-11-01 00:00:00+00:00,220909.48565382068,181943.52095449233,259875.45035314903
2024-11-02 00:00:00+00:00,191124.6459390747,152157.21962187614,230092.07225627324
2024-11-03 00:00:00+00:00,180263.44820627567,141294.91302224481,219231.98339030653
2024-11-04 00:00:00+00:00,219659.0403247381,180684.69105304833,258633.38959642788
2024-11-05 00:00:00+00:00,225009.58128778622,186030.82155006222,263988.3410255102
2024-11-06 00:00:00+00:00,226112.81764676824,187130.71210004162,265094.92319349485
2024-11-07 00:00:00+00:00,225828.1744681001,186843.53070733545,264812.81822886475
2024-11-08 00:00:00+00:00,220909.48565382068,181922.91630557826,259896.0550020631
2024-11-09 00:00:00+00:00,191124.6459390747,152136.6157454074,230112.67613274197
2024-11-10 00:00:00+00:00,180263.44820627567,141274.30973175867,219252.58668079268
2024-11-11 00:00:00+00:00,219659.0403247381,180664.09083448135,258653.98981499486
2024-11-12 00:00:00+00:00,225009.58128778622,186010.22366118903,264008.9389143834
2024-11-13 00:00:00+00:00,226112.81764676824,187110.11597813832,265115.5193153981
2024-11-14 00:00:00+00:00,225828.1744681001,186822.93592569738,264833.4130105028
2024-11-15 00:00:00+00:00,220909.48565382068,181902.322540601,259916.64876704037
2024-11-16 00:00:00+00:00,191124.6459390747,152116.0227516521,230133.26912649727
2024-11-17 00:00:00+00:00,180263.44820627567,141253.7173230579,219273.17908949344
2024-11-18 00:00:00+00:00,219659.0403247381,180643.50149283564,258674.57915664057
2024-11-19 00:00:00+00:00,225009.58128778622,185989.63664554927,264029.52593002317
2024-11-20 00:00:00+00:00,226112.81764676824,187089.53072667195,265136.10456686455
2024-11-21 00:00:00+00:00,225828.1744681001,186802.35201237537,264853.99692382483
2024-11-22 00:00:00+00:00,220909.48565382068,181881.73964233111,259937.23166531025
2024-11-23 00:00:00+00:00,191124.6459390747,152095.44062338406,230153.85125476532
2024-11-24 00:00:00+00:00,180263.44820627567,141233.13577891883,219293.7606336325
2024-11-25 00:00:00+00:00,219659.0403247381,180622.92301090038,258695.15763857582
2024-11-26 00:00:00+00:00,225009.58128778622,185969.0604859418,264050.1020896307
2024-11-27 00:00:00+00:00,226112.81764676824,187068.95632844866,265156.6789650878
2024-11-28 00:00:00+00:00,225828.1744681001,186781.77895018115,264874.56998601905
2024-11-29 00:00:00+00:00,220909.48565382068,181861.1675935847,259957.80371405667
2024-11-30 00:00:00+00:00,191124.6459390747,152074.8693434225,230174.42253472688
2024-12-01 00:00:00+00:00,180263.44820627567,141212.56508216314,219314.3313303882
2024-12-02 00:00:00+00:00,219659.0403247381,180602.35537151003,258715.72527796618
